fishing_event_id,year,month,day,time_deployed,time_retrieved,vessel_id,captain_id,area_swept
501791,2004,7,8,2004-07-08T20:52:00Z,2004-07-08T21:12:00Z,460,351,121541.00000000001
501792,2004,7,9,2004-07-09T08:30:00Z,2004-07-09T08:50:00Z,460,351,134846
501793,2004,7,9,2004-07-09T10:14:00Z,2004-07-09T10:33:00Z,460,351,135801
501794,2004,7,9,2004-07-09T12:46:00Z,2004-07-09T13:07:00Z,460,351,150345
501795,2004,7,9,2004-07-09T13:50:00Z,2004-07-09T14:10:00Z,460,351,136884
501796,2004,7,9,2004-07-09T14:48:00Z,2004-07-09T15:08:00Z,460,351,126419
501797,2004,7,9,2004-07-09T15:49:00Z,2004-07-09T16:08:00Z,460,351,116403
501798,2004,7,9,2004-07-09T17:22:00Z,2004-07-09T17:44:00Z,460,351,119479
501799,2004,7,9,2004-07-09T18:21:00Z,2004-07-09T18:45:00Z,460,351,150348
501800,2004,7,9,2004-07-09T19:50:00Z,2004-07-09T20:11:00Z,460,351,131898
501801,2004,7,9,2004-07-09T21:42:00Z,2004-07-09T22:02:00Z,460,351,147700
501810,2004,7,10,2004-07-10T18:57:00Z,2004-07-10T19:17:00Z,460,351,121719.99999999999
501811,2004,7,10,2004-07-10T20:28:00Z,2004-07-10T20:49:00Z,460,351,126000
501813,2004,7,11,2004-07-11T06:19:00Z,2004-07-11T06:38:00Z,460,351,110160
501814,2004,7,11,2004-07-11T07:20:00Z,2004-07-11T07:40:00Z,460,351,126909
501815,2004,7,11,2004-07-11T08:46:00Z,2004-07-11T09:06:00Z,460,351,122484
501816,2004,7,11,2004-07-11T09:53:00Z,2004-07-11T10:15:00Z,460,351,131586
501817,2004,7,11,2004-07-11T10:56:00Z,2004-07-11T11:17:00Z,460,351,134442
501818,2004,7,11,2004-07-11T11:57:00Z,2004-07-11T12:18:00Z,460,351,148500
501819,2004,7,11,2004-07-11T13:07:00Z,2004-07-11T13:30:00Z,460,351,95760
501820,2004,7,11,2004-07-11T14:15:00Z,2004-07-11T14:39:00Z,460,351,120235
501821,2004,7,12,2004-07-12T05:45:00Z,2004-07-12T06:09:00Z,460,351,140985
501822,2004,7,12,2004-07-12T07:08:00Z,2004-07-12T07:29:00Z,460,351,155660
501824,2004,7,12,2004-07-12T11:11:00Z,2004-07-12T11:31:00Z,460,351,155595
501825,2004,7,12,2004-07-12T12:20:00Z,2004-07-12T12:45:00Z,460,351,169875
501826,2004,7,12,2004-07-12T13:51:00Z,2004-07-12T14:12:00Z,460,351,159952
501827,2004,7,12,2004-07-12T15:00:00Z,2004-07-12T15:21:00Z,460,351,145733
501828,2004,7,12,2004-07-12T16:41:00Z,2004-07-12T17:01:00Z,460,351,140392
501829,2004,7,12,2004-07-12T17:40:00Z,2004-07-12T18:02:00Z,460,351,147609
501831,2004,7,12,2004-07-12T20:02:00Z,2004-07-12T20:23:00Z,460,351,132060
501832,2004,7,13,2004-07-13T05:56:00Z,2004-07-13T06:17:00Z,460,351,152768
501833,2004,7,13,2004-07-13T08:54:00Z,2004-07-13T09:15:00Z,460,351,139082
501834,2004,7,13,2004-07-13T11:27:00Z,2004-07-13T11:47:00Z,460,351,142680
501835,2004,7,13,2004-07-13T12:22:00Z,2004-07-13T12:43:00Z,460,351,135273
501837,2004,7,13,2004-07-13T17:35:00Z,2004-07-13T17:56:00Z,460,351,121636
501838,2004,7,15,2004-07-15T05:46:00Z,2004-07-15T06:06:00Z,460,351,145008
501839,2004,7,15,2004-07-15T07:24:00Z,2004-07-15T07:45:00Z,460,351,124028
502010,2004,8,4,2004-08-04T07:36:00Z,2004-08-04T07:56:00Z,460,351,163944
502011,2004,8,4,2004-08-04T08:54:00Z,2004-08-04T09:13:00Z,460,351,128205
502013,2004,8,4,2004-08-04T10:59:00Z,2004-08-04T11:18:00Z,460,351,158562
502015,2004,8,4,2004-08-04T14:02:00Z,2004-08-04T14:24:00Z,460,351,113664
